FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
26022020,91s,1,SE,Sur,,06:00:00,8,5,3,8,0,0,0,1,0,0,0
26022020,91s,1,SE,Sur,,06:15:00,23,4,11,13,3,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,06:30:00,44,4,3,9,0,0,1,7,0,0,0
26022020,91s,1,SE,Sur,,06:45:00,24,10,6,9,2,0,0,13,0,0,0
26022020,91s,1,SE,Sur,,07:00:00,13,5,3,9,6,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,07:15:00,12,7,9,6,0,3,0,0,0,0,0
26022020,91s,1,SE,Sur,,07:30:00,13,7,2,4,1,0,0,0,0,0,0
26022020,91s,1,SE,Sur,,07:45:00,38,9,5,9,2,1,2,0,0,0,0
26022020,91s,1,SE,Sur,,08:00:00,20,6,4,2,2,0,1,0,0,0,0
26022020,91s,1,SE,Sur,,08:15:00,26,10,6,6,5,0,0,2,0,0,0
26022020,91s,1,SE,Sur,,08:30:00,31,6,2,6,3,1,1,0,0,0,0
26022020,91s,1,SE,Sur,,08:45:00,42,9,2,7,2,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,09:00:00,27,6,3,10,2,2,0,1,1,0,0
26022020,91s,1,SE,Sur,,09:15:00,21,6,4,10,1,2,0,1,0,0,0
26022020,91s,1,SE,Sur,,09:30:00,20,5,1,2,5,2,0,1,0,0,0
26022020,91s,1,SE,Sur,,09:45:00,12,7,2,4,6,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,10:00:00,15,14,2,3,2,1,2,0,0,0,0
26022020,91s,1,SE,Sur,,10:15:00,19,9,1,3,1,0,2,0,0,0,0
26022020,91s,1,SE,Sur,,10:30:00,35,6,0,1,0,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,10:45:00,27,11,2,10,3,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,11:00:00,27,11,1,6,0,1,0,3,0,0,0
26022020,91s,1,SE,Sur,,11:15:00,19,7,1,8,1,0,1,1,0,0,0
26022020,91s,1,SE,Sur,,11:30:00,13,18,1,3,6,3,3,0,0,0,0
26022020,91s,1,SE,Sur,,11:45:00,11,6,4,5,0,1,0,2,0,0,0
26022020,91s,1,SE,Sur,,12:00:00,20,7,2,3,0,2,1,0,0,0,0
26022020,91s,1,SE,Sur,,12:15:00,27,10,5,10,2,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,12:30:00,25,9,7,7,1,2,1,0,0,0,0
26022020,91s,1,SE,Sur,,12:45:00,19,13,11,5,1,8,0,0,1,0,0
26022020,91s,1,SE,Sur,,13:00:00,15,15,2,11,10,2,2,0,0,0,0
26022020,91s,1,SE,Sur,,13:15:00,16,7,0,8,0,0,2,2,0,0,0
26022020,91s,1,SE,Sur,,13:30:00,23,7,3,8,1,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,13:45:00,22,5,4,4,2,2,1,0,0,0,0
26022020,91s,1,SE,Sur,,14:00:00,25,11,3,4,2,0,2,1,0,0,0
26022020,91s,1,SE,Sur,,14:15:00,16,7,3,7,2,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,14:30:00,17,6,5,8,0,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,14:45:00,27,4,2,7,0,1,0,0,0,0,0
26022020,91s,1,SE,Sur,,15:00:00,21,8,5,8,1,1,2,0,0,0,0
26022020,91s,1,SE,Sur,,15:15:00,13,5,4,5,4,0,1,1,0,0,0
26022020,91s,1,SE,Sur,,15:30:00,16,6,3,10,2,5,1,0,0,0,0
26022020,91s,1,SE,Sur,,15:45:00,20,3,4,5,0,0,0,2,0,0,0
26022020,91s,1,SE,Sur,,16:00:00,25,5,1,8,0,1,0,2,0,0,0
26022020,91s,1,SE,Sur,,16:15:00,15,5,1,2,0,0,1,3,0,0,0
26022020,91s,1,SE,Sur,,16:30:00,13,4,1,2,4,1,1,2,0,0,0
26022020,91s,1,SE,Sur,,16:45:00,26,7,1,8,0,1,0,2,0,0,0
26022020,91s,1,SE,Sur,,17:00:00,24,3,2,10,1,0,1,1,0,0,0
26022020,91s,1,SE,Sur,,17:15:00,29,4,6,5,1,1,0,1,0,0,0
26022020,91s,1,SE,Sur,,17:30:00,24,9,5,13,6,1,1,1,0,0,0
26022020,91s,1,SE,Sur,,17:45:00,24,6,4,8,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,06:00:00,16,3,4,2,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,06:15:00,40,3,0,13,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,06:30:00,47,1,8,3,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,06:45:00,39,4,13,6,0,0,0,6,0,0,0
26022020,91s,1,22,Occidente,Oriente,07:00:00,32,1,3,17,1,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,07:15:00,23,3,5,12,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,07:30:00,26,4,4,6,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,07:45:00,42,2,6,11,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,08:00:00,27,1,3,8,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,08:15:00,30,3,1,1,0,0,1,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,08:30:00,33,6,2,9,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,08:45:00,36,3,2,8,0,0,2,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,09:00:00,24,4,3,7,1,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,09:15:00,24,1,4,7,0,0,1,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,09:30:00,25,2,0,0,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,09:45:00,14,0,1,9,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,10:00:00,34,3,2,2,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,10:15:00,33,0,2,6,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,10:30:00,26,1,1,1,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,10:45:00,23,1,1,3,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,11:00:00,28,3,2,13,0,0,1,5,0,0,0
26022020,91s,1,22,Occidente,Oriente,11:15:00,22,0,2,5,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,11:30:00,14,2,3,5,0,0,0,1,0,0,0
26022020,91s,1,22,Occidente,Oriente,11:45:00,22,2,3,3,0,0,0,3,0,0,0
26022020,91s,1,22,Occidente,Oriente,12:00:00,17,3,2,5,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,12:15:00,35,3,1,5,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,12:30:00,19,3,3,8,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,12:45:00,25,2,1,4,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,13:00:00,18,4,2,4,0,0,0,2,0,0,0
26022020,91s,1,22,Occidente,Oriente,13:15:00,24,3,0,5,0,0,0,4,0,0,0
26022020,91s,1,22,Occidente,Oriente,13:30:00,24,1,1,4,0,0,0,0,0,0,0
26022020,91s,1,22,Occidente,Oriente,13:45:00,33,4,0,8,0,0,0,4,0,0,0
